"price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
2935.179932,2993.189941,2933.709961,2993.189941,393348900,2993.189941,2021-01-08,"^STI",0.0296597387864797,0.0296597387864797
2983.5,2993.159912,2971.929932,2983.899902,0,2983.899902,2021-01-11,"^STI",-0.00310372518387403,-0.00310372518387403
2975.149902,2983.659912,2968.899902,2977.169922,296521200,2977.169922,2021-01-12,"^STI",-0.00225543088609947,-0.00225543088609947
2982.159912,2994.790039,2977.51001,2977.51001,277380200,2977.51001,2021-01-13,"^STI",0.000114231974966073,0.000114231974966073
2982,3001.340088,2979.379883,3000,239603100,3000,2021-01-14,"^STI",0.00755328778894682,0.00755328778894682
2995.850098,3012.530029,2991.76001,3004.870117,294247600,3004.870117,2021-01-15,"^STI",0.00162337233333321,0.00162337233333321
2995.72998,2998.689941,2978.790039,2990.399902,216057700,2990.399902,2021-01-18,"^STI",-0.00481558750847,-0.00481558750847
2996.639893,3007.98999,2990.929932,2995.919922,250123400,2995.919922,2021-01-19,"^STI",0.00184591365064857,0.00184591365064857
2995.699951,3001.139893,2985.709961,2998.77002,273957000,2998.77002,2021-01-20,"^STI",0.000951326495434834,0.000951326495434834
3004.159912,3017.149902,2997.689941,3017.149902,276352400,3017.149902,2021-01-21,"^STI",0.0061291402399708,0.0061291402399708
3009.02002,3009.129883,2981.179932,2991.530029,279483400,2991.530029,2021-01-22,"^STI",-0.00849141535295195,-0.00849141535295195
2998.040039,3004.969971,2971.070068,2973.649902,215048900,2973.649902,2021-01-25,"^STI",-0.00597691710484916,-0.00597691710484916
2967.629883,2968.97998,2935.649902,2945.52002,294856300,2945.52002,2021-01-26,"^STI",-0.00945971547662039,-0.00945971547662039
2952.469971,2967.780029,2948.709961,2958.629883,223947400,2958.629883,2021-01-27,"^STI",0.0044507804771261,0.0044507804771261
2924.47998,2930.75,2911.75,2920.300049,283495700,2920.300049,2021-01-28,"^STI",-0.0129552649421408,-0.0129552649421408
2941.580078,2950.75,2887.199951,2902.52002,372873500,2902.52002,2021-01-29,"^STI",-0.00608842540207077,-0.00608842540207077
2888.75,2901.780029,2873.77002,2896.320068,304092500,2896.320068,2021-02-01,"^STI",-0.00213605830701558,-0.00213605830701558
2906.199951,2918.850098,2902.01001,2917.290039,296217000,2917.290039,2021-02-02,"^STI",0.0072402118922168,0.0072402118922168
2932.719971,2939.350098,2927.050049,2927.469971,254094600,2927.469971,2021-02-03,"^STI",0.00348951659379382,0.00348951659379382
2933.080078,2936.590088,2884.73999,2905.580078,261646300,2905.580078,2021-02-04,"^STI",-0.0074774099194338,-0.0074774099194338
2916.060059,2917.590088,2903.370117,2907.110107,260483800,2907.110107,2021-02-05,"^STI",0.000526582974458289,0.000526582974458289
2909.800049,2938.149902,2908.179932,2931.399902,263478200,2931.399902,2021-02-08,"^STI",0.00835530616522329,0.00835530616522329
2946.199951,2959.659912,2924.800049,2935.27002,364860400,2935.27002,2021-02-09,"^STI",0.00132022860386916,0.00132022860386916
2936.100098,2938.209961,2919.97998,2925.840088,303329500,2925.840088,2021-02-10,"^STI",-0.00321262845862469,-0.00321262845862469
2915.97998,2926.340088,2914.899902,2925.47998,152665400,2925.47998,2021-02-11,"^STI",-0.000123078496831353,-0.000123078496831353
2929.939941,2946.219971,2929.060059,2931.52002,206565900,2931.52002,2021-02-15,"^STI",0.00206463214285946,0.00206463214285946
2935.580078,2945.290039,2932.199951,2935.340088,231993800,2935.340088,2021-02-16,"^STI",0.00130310145383206,0.00130310145383206
2913.810059,2928.25,2909.540039,2920.429932,238155100,2920.429932,2021-02-17,"^STI",-0.00507953271273553,-0.00507953271273553
2917.929932,2921.709961,2901.090088,2908.850098,286709400,2908.850098,2021-02-18,"^STI",-0.00396511276408873,-0.00396511276408873
2896.909912,2903.360107,2869.300049,2880.639893,265703400,2880.639893,2021-02-19,"^STI",-0.00969806076270341,-0.00969806076270341
2888.290039,2897.530029,2876.889893,2881.209961,256284000,2881.209961,2021-02-22,"^STI",0.000197896308172796,0.000197896308172796
2879.639893,2905.219971,2875.899902,2890.699951,314550500,2890.699951,2021-02-23,"^STI",0.00329375162812018,0.00329375162812018
2897.719971,2935.76001,2896.570068,2924.580078,340839700,2924.580078,2021-02-24,"^STI",0.0117203886858888,0.0117203886858888
2951.030029,2976.360107,2949.620117,2973.540039,395473900,2973.540039,2021-02-25,"^STI",0.0167408515732903,0.0167408515732903
2923.22998,2951.290039,2921.100098,2949.040039,458484500,2949.040039,2021-02-26,"^STI",-0.00823933751645034,-0.00823933751645034
2948.689941,2981.5,2948.639893,2973,294013300,2973,2021-03-01,"^STI",0.0081246645291817,0.0081246645291817
2989.800049,3000.060059,2970.919922,2973.870117,274486200,2973.870117,2021-03-02,"^STI",0.000292673057517678,0.000292673057517678
2991.120117,3000.439941,2980.679932,3000.370117,212020500,3000.370117,2021-03-03,"^STI",0.00891094733711273,0.00891094733711273
2987.659912,3015.870117,2981.340088,3014.780029,263833700,3014.780029,2021-03-04,"^STI",0.00480271147827871,0.00480271147827871
3005.899902,3028.439941,2992.22998,3013.850098,273989900,3013.850098,2021-03-05,"^STI",-0.000308457330569722,-0.000308457330569722
3075.159912,3079.97998,3060.580078,3071.159912,362244500,3071.159912,2021-03-08,"^STI",0.0190154825676403,0.0190154825676403
3091.790039,3116.310059,3091.790039,3108.530029,379584300,3108.530029,2021-03-09,"^STI",0.0121680791853211,0.0121680791853211
3106.939941,3108.290039,3072.530029,3079.719971,320414300,3079.719971,2021-03-10,"^STI",-0.00926806488315257,-0.00926806488315257
3086.73999,3113.929932,3082.159912,3106.01001,406209100,3106.01001,2021-03-11,"^STI",0.0085365030741622,0.0085365030741622
3112.570068,3115.25,3089.439941,3095.219971,332294700,3095.219971,2021-03-12,"^STI",-0.00347392280297254,-0.00347392280297254
3109.320068,3118.909912,3097.01001,3106,259012200,3106,2021-03-15,"^STI",0.00348279899360993,0.00348279899360993
3111.810059,3114.800049,3099.429932,3105.51001,346740100,3105.51001,2021-03-16,"^STI",-0.000157755956213812,-0.000157755956213812
